time,prediction
1668502014.065234,30642.561771388453
1668502019.065234,27248.308288036023
1668502024.065234,25449.90392067992
1668502029.065234,23517.857549591467
1668502034.065234,19250.44930746241
1668502039.065234,15896.396071364728
1668502044.065234,23487.476008121448
1668502049.065234,17130.82436696104
1668502054.065234,16887.02931541944
1668502059.065234,19544.60413382314
1668502064.065234,22904.051063740462
1668502069.065234,16774.09961757926
1668502074.065234,7793.83106948
1668502079.065234,26572.120108851577
1668502084.065234,27666.858580935852
1668502089.065234,30450.256534665546
1668502094.065234,16059.805653605188
1668502099.065234,19849.83047399965
1668502104.065234,26929.218331214208
1668502109.065234,28765.40231852009
1668502114.065234,23173.697976519357
1668502119.065234,18286.433495230238
1668502124.065234,23649.100557914688
1668502129.065234,29204.905709643812
1668502134.065234,31779.987936378726
1668502139.065234,38984.755744645976
1668502144.065234,27393.148772949775
1668502149.065234,27210.18499651018
1668502154.065234,3852.4407183906023
1668502159.065234,20643.08259833294
1668502164.065234,15985.78728347677
1668502169.065234,19747.670183171424
1668502174.065234,7346.331878907984
1668502179.065234,3266.007818283583
1668502184.065234,5002.594682917201
1668502189.065234,18859.593024396396
1668502194.065234,19548.918790073545
1668502199.065234,19625.23187402052
1668502204.065234,23079.407347439614
1668502209.065234,23794.950649118844
1668502214.065234,17049.115707267792
1668502219.065234,17549.381623996735
1668502224.065234,20143.950221390664
1668502229.065234,21735.491997057936
1668502234.065234,9031.397918697829
1668502239.065234,20763.450705344327
1668502244.065234,23880.031742528074
1668502249.065234,8592.295439278909
1668502254.065234,22210.544389188857
1668502259.065234,19894.882541951876
1668502264.065234,27125.720017891697
1668502269.065234,19969.966037709248
1668502274.065234,16929.76783946676
1668502279.065234,20637.993454916992
1668502284.065234,20590.365606491927
1668502289.065234,18176.89255695324
1668502294.065234,17749.773462321165
1668502299.065234,14493.357464777884
1668502304.065234,22820.355258583128
1668502309.065234,19899.61936078585
1668502314.065234,19274.53510355406
1668502319.065234,28545.358900644787
1668502324.065234,23797.38153757304
1668502329.065234,24858.977110028773
1668502334.065234,16534.391211944476
1668502339.065234,17643.802448727183
1668502344.065234,24906.99437250371
1668502349.065234,19562.77384876268
1668502354.065234,10622.632404994998
1668502359.065234,21580.874702643927
